0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 33315
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/post/preview.png HTTP/1.1" 200 9547
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/post/next.png HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/comment/comment_2.png HTTP/1.1" 200 10561
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/comment/comment_3.png HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/comment/comment_1.png HTTP/1.1" 200 11303
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/blog/single_blog_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:40:18 +0900] "GET /Team_Proj/citylisting-master/assets/img/blog/author.png HTTP/1.1" 200 17489
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:41:44 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 14226
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:41:44 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:41:44 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:41:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:43:21 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 14109
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:43:21 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:43:21 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
